Havaintoasema,Vuosi,Kuukausi,Päivä,Aika [Paikallinen aika],Ilman lämpötila keskiarvo [°C],Suhteellinen kosteus keskiarvo [%],Sademäärä keskiarvo [mm],Lumensyvyys keskiarvo [cm],Keskituulen nopeus keskiarvo [m/s]
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,00:00,-2.2,93.1,0.0,0.0,4.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,01:00,-1.6,95.9,0.0,0.0,4.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,02:00,-1.3,97.3,0.0,0.0,4.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,03:00,-1.0,96.8,0.0,0.0,4.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,04:00,-0.5,93.7,0.0,0.0,6.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,05:00,-0.3,91.7,0.0,0.0,5.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,06:00,0.0,90.6,0.0,0.0,5.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,07:00,-1.1,97.7,0.0,0.0,4.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,08:00,-0.8,98.2,0.0,0.0,3.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,09:00,0.3,91.7,0.0,0.0,4.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,10:00,0.8,89.6,0.0,0.0,3.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,11:00,1.3,88.2,0.0,0.0,3.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,12:00,1.7,87.5,0.0,0.0,4
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,13:00,1.9,89.3,0.0,0.0,4
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,14:00,2.0,89.8,0.0,0.0,4.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,15:00,2.3,86.8,0.0,0.0,5.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,16:00,2.3,84.7,0.0,0.0,5.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,17:00,2.3,86.5,0.0,0.0,5.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,18:00,2.5,85,0.0,0.0,6.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,19:00,2.0,87.1,0.0,0.0,5.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,20:00,1.6,89.7,0.0,0.0,5.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,21:00,1.8,88.9,0.0,0.0,5.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,22:00,2.0,87.9,0.0,0.0,5.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,1,23:00,1.9,89.8,0.0,0.0,5.7
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,00:00,1.9,89.9,0.0,0.0,5.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,01:00,1.7,89.9,0.0,0.0,4.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,02:00,1.7,90.4,0.0,0.0,4.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,03:00,1.8,89.4,0.0,0.0,5.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,04:00,1.5,91.9,0.0,0.0,5.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,05:00,1.7,89.2,0.0,0.0,5.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,06:00,1.6,88.2,0.0,0.0,5
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,07:00,1.6,88,0.0,0.0,5
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,08:00,1.4,90.3,0.0,0.0,5.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,09:00,1.6,91.1,0.0,0.0,5.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,10:00,2.5,86.8,0.0,0.0,5.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,11:00,2.5,88.6,0.0,0.0,4.9
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,12:00,2.8,88.8,0.0,0.0,4.2
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,13:00,3.2,90.4,0.0,0.0,4.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,14:00,3.2,94.7,0.0,0.0,4.6
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,15:00,3.7,97.9,0.0,0.0,5.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,16:00,3.6,99.6,0.0,0.0,5.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,17:00,3.7,100,0.0,0.0,6.4
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,18:00,3.9,100,0.0,0.0,6.8
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,19:00,4.0,100,0.0,0.0,6.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,20:00,3.9,100,0.0,0.0,6.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,21:00,4.1,100,0.0,0.0,6.5
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,22:00,4.5,99.6,0.0,0.0,6.1
Vantaa Helsinki-Vantaan lentoasema,2020,1,2,23:00,4.6,98.4,0.0,0.0,7.3
Vantaa Helsinki-Vantaan lentoasema,2020,1,3,00:00,4.5,97.7,0.0,0.0,7
